build_y,year,month,day,dong,bo_price,mo_price,size,ji_code
2015,2019,1,1, 복대동,"     4,000",         0,20,43113
2011,2019,1,1, 복대동,"     4,000",         0,33,43113
,2019,1,2, 복대동,"     5,000",         0,27.56,43113
2012,2019,1,2, 복대동,"     5,000",         0,40,43113
2018,2019,1,2, 복대동,"     5,000",         0,20,43113
2001,2019,1,2, 복대동,"     5,000",         0,48.67,43113
2013,2019,1,2, 복대동,"     3,000",         0,25,43113
2019,2019,1,2, 복대동,"     1,000",        43,45,43113
2008,2019,1,3, 복대동,"     2,000",        19,26.4,43113
,2019,1,3, 복대동,"     6,000",         0,52.85,43113
2012,2019,1,3, 복대동,"     5,000",         0,31.3,43113
2018,2019,1,3, 복대동,"     7,000",         0,46.2,43113
2016,2019,1,3, 복대동,"     4,500",         0,30,43113
2018,2019,1,4, 복대동,"     9,000",         0,52.8,43113
2015,2019,1,4, 복대동,"     4,000",         0,25,43113
2004,2019,1,4, 복대동,"     3,600",         0,40,43113
2011,2019,1,4, 복대동,       300,        38,33,43113
2000,2019,1,4, 복대동,       100,        28,25,43113
2013,2019,1,4, 복대동,"     4,000",         0,18,43113
1990,2019,1,4, 복대동,"     9,000",         0,102.14,43113
2007,2019,1,5, 복대동,"     3,000",        25,33,43113
2018,2019,1,5, 복대동,"     3,000",        48,52.8,43113
2010,2019,1,5, 복대동,"     5,000",         0,20,43113
2000,2019,1,5, 복대동,"     4,000",         0,36.67,43113
2011,2019,1,5, 복대동,"     3,000",        25,42.9,43113
2010,2019,1,5, 복대동,"     4,100",         0,30,43113
2000,2019,1,6, 복대동,       200,        25,33.36,43113
2011,2019,1,6, 복대동,"     3,500",         0,33,43113
2013,2019,1,6, 복대동,"     4,000",         0,25,43113
2001,2019,1,7, 복대동,"     2,000",         0,31.5,43113
2012,2019,1,7, 복대동,"     4,000",         0,30.04,43113
2018,2019,1,7, 복대동,"     6,000",         0,33,43113
2014,2019,1,7, 복대동,"     3,700",         0,20,43113
2000,2019,1,8, 복대동,"     3,000",         0,20,43113
2014,2019,1,9, 복대동,"     3,000",         0,20,43113
2001,2019,1,9, 복대동,"     1,000",        20,25,43113
2014,2019,1,10, 복대동,"     3,000",         0,25,43113
2014,2019,1,10, 복대동,       200,        33,24,43113
2003,2019,1,10, 복대동,       300,        30,50,43113
2013,2019,1,10, 복대동,"     3,500",         0,20,43113
2018,2019,1,10, 복대동,"     4,500",         0,17.9,43113
2001,2019,1,10, 복대동,"     2,000",        10,30,43113
2000,2019,1,11, 복대동,"     2,700",         0,26.4,43113
2000,2019,1,11, 복대동,"     2,700",         0,26.4,43113
