build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2016,지웰에스테이트 오피스텔,32.91,2019,1,2, 복대동,"1,000",40,43113,7
2016,지웰에스테이트 오피스텔,55,2019,1,4, 복대동,"18,700",0,43113,6
2017,대농지구 롯데캐슬시티,33.45,2019,1,4, 복대동,500,50,43113,15
2017,대농지구 롯데캐슬시티,50.53,2019,1,4, 복대동,"5,000",50,43113,9
2016,지웰에스테이트 오피스텔,55,2019,1,5, 복대동,"18,000",0,43113,8
2016,지웰에스테이트 오피스텔,30.33,2019,1,5, 복대동,"8,400",0,43113,3
2016,지웰에스테이트 오피스텔,32.4,2019,1,6, 복대동,"10,500",0,43113,2
2016,지웰에스테이트 오피스텔,27.61,2019,1,7, 복대동,"9,000",0,43113,2
2016,지웰에스테이트 오피스텔,52.09,2019,1,9, 복대동,"18,000",0,43113,13
2016,지웰에스테이트 오피스텔,29.24,2019,1,11, 복대동,"9,000",0,43113,2
2016,지웰에스테이트 오피스텔,32.91,2019,1,11, 복대동,"10,000",0,43113,13
2016,지웰에스테이트 오피스텔,32.91,2019,1,12, 복대동,"3,000",35,43113,4
2016,지웰에스테이트 오피스텔,30.33,2019,1,19, 복대동,500,44,43113,11
2016,지웰에스테이트 오피스텔,32.91,2019,1,23, 복대동,"3,000",24,43113,15
2016,지웰에스테이트 오피스텔,32.91,2019,1,23, 복대동,"12,000",0,43113,11
2016,지웰에스테이트 오피스텔,59.93,2019,1,23, 복대동,"1,000",77,43113,2
2016,지웰에스테이트 오피스텔,29.24,2019,1,24, 복대동,"12,000",0,43113,7
2017,대농지구 롯데캐슬시티,48.35,2019,1,25, 복대동,"18,000",0,43113,6
2014,주건축물제1동(288-119),28.94,2019,1,28, 복대동,500,43,43113,6
2016,지웰에스테이트 오피스텔,27.61,2019,1,31, 복대동,"7,000",0,43113,13
2016,지웰에스테이트 오피스텔,29.24,2019,1,31, 복대동,"11,000",0,43113,11
2017,대농지구 롯데캐슬시티,40.84,2019,1,31, 복대동,"1,000",65,43113,15
2017,대농지구 롯데캐슬시티,48.35,2019,2,7, 복대동,"17,000",0,43113,10
2016,지웰에스테이트 오피스텔,27.61,2019,2,8, 복대동,"9,000",0,43113,5
2016,지웰에스테이트 오피스텔,32.91,2019,2,11, 복대동,"11,000",0,43113,10
2014,주건축물제1동(288-119),27.59,2019,2,12, 복대동,500,43,43113,10
2016,지웰에스테이트 오피스텔,30.33,2019,2,12, 복대동,"11,000",0,43113,2
2017,대농지구 롯데캐슬시티,44.09,2019,2,13, 복대동,"7,000",40,43113,8
2017,대농지구 롯데캐슬시티,37.16,2019,2,13, 복대동,500,75,43113,10
2016,지웰에스테이트 오피스텔,52.09,2019,2,15, 복대동,"1,000",75,43113,13
2016,지웰에스테이트 오피스텔,32.91,2019,2,19, 복대동,500,44,43113,6
2017,대농지구 롯데캐슬시티,28.47,2019,2,20, 복대동,500,55,43113,8
2017,대농지구 롯데캐슬시티,28.47,2019,2,20, 복대동,500,54,43113,8
2016,지웰에스테이트 오피스텔,28.8,2019,2,20, 복대동,500,49,43113,11
2016,지웰에스테이트 오피스텔,30.33,2019,2,21, 복대동,"11,000",0,43113,2
