시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201905,20,"13,000",0,5,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,월세,59.89,201905,20,"1,000",53,3,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201905,25,"14,000",0,5,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,84.97,201906,2,"15,000",0,2,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201906,27,"13,000",0,13,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201906,28,"14,000",0,12,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,84.97,201907,3,"16,000",0,3,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201907,6,"12,000",0,8,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,월세,59.89,201907,8,"1,000",50,13,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,84.97,201907,14,"15,000",0,10,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201907,21,"12,000",0,10,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201907,21,"12,000",0,10,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201907,29,"14,000",0,9,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201908,17,"12,000",0,6,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,84.97,201909,1,"15,000",0,2,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201909,9,"13,500",0,12,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,월세,80.32,201909,18,"1,000",60,2,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201909,21,"12,000",0,4,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201910,2,"12,000",0,6,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201910,2,"12,000",0,6,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,80.32,201910,3,"12,000",0,5,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201910,7,"13,000",0,7,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201910,23,"11,000",0,2,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,84.97,201910,24,"14,000",0,1,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.98,201910,26,"12,500",0,1,1999,죽천로146번길 7
충청북도 청주흥덕구 복대동,221-7,대원,전세,59.89,201911,9,"13,000",0,4,1999,죽천로146번길 6
충청북도 청주흥덕구 복대동,221-7,대원,월세,59.98,201911,10,"1,000",45,11,1999,죽천로146번길 7
