시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,870-5,"	(870-5)	",전세,43.68,201912,25,"6,000",0,3,2014,사직대로 62
충청북도 청주흥덕구 복대동,3337,-3337,전세,50.89,201906,15,"2,000",0,6,2015,죽천로 127
충청북도 청주흥덕구 복대동,3337,-3337,전세,31.65,201906,26,"5,000",0,4,2015,죽천로 127
충청북도 청주흥덕구 복대동,3337,-3337,월세,54.96,201912,9,"1,000",55,4,2015,죽천로 127
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,37.16,201905,2,"2,000",47,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201905,9,"17,500",0,5,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201905,18,"17,500",0,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,28.47,201905,19,"10,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201905,25,"15,000",0,9,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201905,28,"18,000",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,48.35,201905,28,"7,000",40,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,28.47,201906,12,"11,000",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,50.53,201906,13,"18,000",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201906,13,"18,000",0,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201906,16,"18,000",0,9,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,201906,27,"18,000",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,28.47,201907,1,500,47,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,201907,6,"12,000",0,11,2017,진재로 141
