矫焙备,锅瘤,档肺炼扒,拌距搁利(С),傈岿技备盒,拌距斥岿,拌距老,焊刘陛(父盔),岿技(父盔)
面没合档 没林蕊傣备 汗措悼,3*,8m固父,10,傈技,202001,7,           300,             0
面没合档 没林蕊傣备 汗措悼,8**,-,11.5,岿技,201912,18,"         1,000",            30
面没合档 没林蕊傣备 汗措悼,1***,8m固父,12,岿技,202001,18,           200,            33
面没合档 没林蕊傣备 汗措悼,1***,25m固父,12,傈技,201906,21,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,12,傈技,202001,30,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,13,傈技,202002,9,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,13,傈技,201911,26,"         1,600",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,13.13,傈技,202003,24,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,13.14,傈技,202002,24,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,13.37,傈技,201911,16,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,13.69,傈技,202002,14,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,14,傈技,201909,6,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,14,傈技,202002,8,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8*,25m固父,14,傈技,202002,10,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,14,傈技,202002,15,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,14,傈技,202001,21,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,14.79,傈技,201908,12,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,15,岿技,201910,8,           200,            37
面没合档 没林蕊傣备 汗措悼,1***,8m固父,15,岿技,202002,23,           300,            29
面没合档 没林蕊傣备 汗措悼,3**,8m固父,15,傈技,201906,1,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,15,傈技,201907,8,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,15,傈技,201905,10,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,15,傈技,202002,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,15,傈技,201909,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,15,傈技,202001,17,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,15,傈技,201908,17,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,15.23,傈技,202002,10,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,15.27,傈技,202002,13,"         4,500",             0
